iter	Passed	Remaining
0	200	200482
1	202	100918
2	203	67664
3	204	51026
4	206	41051
5	207	34386
6	210	29865
7	213	26468
8	215	23694
9	216	21448
10	217	19597
11	219	18051
12	220	16747
13	221	15627
14	223	14659
15	224	13817
16	226	13093
17	227	12431
18	229	11831
19	230	11287
20	231	10799
21	232	10354
22	234	9945
23	235	9592
24	237	9263
25	239	8970
26	242	8733
27	243	8462
28	245	8208
29	249	8066
30	252	7880
31	254	7686
32	255	7495
33	257	7313
34	259	7145
35	260	6978
36	262	6821
37	263	6683
38	265	6539
39	266	6405
40	268	6285
41	270	6177
42	272	6069
43	274	5956
44	275	5854
45	277	5757
46	278	5656
47	280	5557
48	281	5464
49	283	5393
50	285	5310
51	287	5247
52	289	5167
53	290	5082
54	290	4999
55	291	4918
56	292	4840
57	293	4765
58	294	4693
59	295	4624
60	296	4557
61	297	4499
62	299	4452
63	300	4401
64	302	4356
65	304	4302
66	305	4250
67	306	4197
68	307	4145
69	308	4093
70	309	4043
71	309	3994
72	310	3947
73	311	3903
74	313	3870
75	315	3832
76	317	3802
77	318	3764
78	319	3723
79	320	3682
80	321	3643
81	321	3604
82	322	3562
83	323	3525
84	324	3490
85	325	3456
86	326	3421
87	327	3395
88	329	3369
89	331	3348
90	332	3321
91	333	3289
92	334	3259
93	335	3229
94	335	3199
95	336	3170
96	337	3142
97	338	3114
98	339	3086
99	339	3059
100	340	3033
101	342	3011
102	343	2993
103	345	2978
104	346	2956
105	347	2933
106	348	2911
107	350	2891
108	351	2874
109	352	2854
110	353	2832
111	354	2811
112	355	2790
113	357	2777
114	359	2768
115	361	2756
116	362	2739
117	364	2720
118	365	2703
119	366	2684
120	367	2668
121	368	2650
122	369	2632
123	375	2652
124	376	2637
125	377	2621
126	378	2602
127	379	2585
128	380	2568
129	381	2550
130	381	2533
131	382	2516
132	383	2500
133	384	2484
134	385	2468
135	387	2459
136	388	2450
137	390	2437
138	391	2423
139	392	2409
140	393	2395
141	393	2380
142	394	2366
143	395	2352
144	396	2337
145	397	2323
146	398	2310
147	398	2296
148	399	2283
149	401	2272
150	403	2265
151	404	2254
152	405	2243
153	406	2231
154	407	2219
155	407	2207
156	408	2194
157	409	2182
158	410	2170
159	411	2159
160	411	2145
161	412	2134
162	413	2123
163	414	2113
164	415	2103
165	417	2095
166	418	2085
167	419	2075
168	419	2064
169	420	2054
170	421	2043
171	422	2033
172	423	2023
173	424	2013
174	424	2003
175	425	1993
176	426	1984
177	427	1976
178	428	1966
179	429	1957
180	430	1949
181	431	1941
182	432	1932
183	434	1925
184	434	1915
185	435	1906
186	436	1897
187	437	1888
188	438	1880
189	438	1871
190	439	1862
191	440	1854
192	441	1847
193	442	1838
194	443	1830
195	444	1822
196	445	1815
197	446	1809
198	448	1804
199	449	1797
200	450	1790
201	451	1782
202	452	1775
203	453	1768
204	454	1761
205	455	1754
206	456	1747
207	456	1739
208	457	1732
209	458	1725
210	459	1717
211	460	1711
212	461	1706
213	462	1700
214	464	1695
215	465	1688
216	466	1681
217	466	1674
218	467	1668
219	468	1661
220	469	1655
221	470	1648
222	471	1642
223	472	1635
224	472	1629
225	473	1622
226	474	1616
227	475	1611
228	477	1606
229	478	1602
230	479	1597
231	480	1591
232	481	1586
233	482	1580
234	483	1575
235	485	1570
236	486	1565
237	487	1560
238	488	1555
239	489	1551
240	493	1555
241	496	1555
242	497	1550
243	498	1545
244	499	1540
245	501	1535
246	502	1530
247	502	1524
248	503	1519
249	505	1515
250	506	1510
251	507	1506
252	508	1501
253	509	1496
254	511	1494
255	512	1489
256	513	1484
257	514	1479
258	515	1474
259	516	1469
260	517	1464
261	518	1459
262	519	1455
263	520	1451
264	521	1447
265	522	1442
266	523	1438
267	524	1433
268	525	1428
269	526	1423
270	527	1418
271	528	1413
272	528	1408
273	529	1403
274	530	1398
275	531	1393
276	532	1389
277	533	1384
278	535	1383
279	536	1379
280	537	1375
281	538	1371
282	539	1367
283	540	1362
284	541	1357
285	542	1353
286	542	1348
287	543	1344
288	544	1339
289	545	1335
290	546	1330
291	547	1326
292	547	1322
293	549	1318
294	550	1315
295	551	1311
296	552	1308
297	553	1304
298	554	1300
299	555	1296
300	556	1293
301	558	1290
302	559	1287
303	560	1283
304	561	1279
305	562	1276
306	566	1277
307	568	1276
308	569	1273
309	570	1269
310	571	1265
311	572	1262
312	573	1258
313	574	1254
314	575	1250
315	575	1246
316	577	1243
317	578	1240
318	579	1238
319	581	1235
320	583	1235
321	585	1233
322	587	1231
323	588	1227
324	589	1224
325	590	1220
326	591	1217
327	592	1213
328	593	1210
329	600	1218
330	602	1217
331	605	1217
332	606	1214
333	607	1211
334	608	1208
335	616	1218
336	617	1215
337	618	1212
338	620	1209
339	622	1207
340	623	1204
341	628	1209
342	630	1207
343	631	1204
344	632	1201
345	633	1197
346	634	1194
347	635	1191
348	637	1188
349	638	1185
350	641	1186
351	644	1187
352	646	1184
353	647	1181
354	648	1178
355	649	1175
356	650	1171
357	651	1168
358	656	1172
359	660	1174
360	662	1172
361	663	1169
362	664	1166
363	665	1163
364	666	1160
365	667	1156
366	669	1154
367	671	1153
368	674	1153
369	675	1150
370	677	1147
371	678	1144
372	679	1141
373	680	1138
374	681	1135
375	681	1131
376	682	1128
377	686	1129
378	687	1127
379	689	1124
380	690	1121
381	691	1118
382	692	1115
383	693	1112
384	694	1109
385	696	1107
386	697	1105
387	699	1103
388	701	1102
389	703	1099
390	704	1097
391	705	1094
392	707	1093
393	708	1090
394	710	1088
395	711	1085
396	713	1083
397	714	1081
398	716	1079
399	717	1076
400	718	1073
401	719	1070
402	720	1067
403	721	1064
404	722	1061
405	723	1058
406	724	1055
407	726	1054
408	729	1054
409	732	1053
410	740	1060
411	741	1058
412	747	1063
413	750	1062
414	751	1059
415	753	1057
416	754	1055
417	755	1052
418	756	1049
419	758	1047
420	760	1046
421	762	1044
422	765	1043
423	766	1041
424	770	1041
425	771	1039
426	772	1036
427	779	1041
428	780	1038
429	781	1035
430	782	1032
431	783	1030
432	785	1028
433	789	1029
434	791	1028
435	793	1026
436	794	1023
437	795	1021
438	797	1018
439	799	1017
440	804	1019
441	805	1017
442	807	1015
443	808	1012
444	810	1010
445	811	1008
446	813	1006
447	815	1005
448	817	1003
449	818	1000
450	820	998
451	821	995
452	823	993
453	824	992
454	830	995
455	837	998
456	840	998
457	842	996
458	845	996
459	847	994
460	849	993
461	851	991
462	853	989
463	854	986
464	855	984
465	857	983
466	861	983
467	863	981
468	865	979
469	866	977
470	867	974
471	868	971
472	869	968
473	870	966
474	872	964
475	874	962
476	875	959
477	876	957
478	878	955
479	879	952
480	880	949
481	881	947
482	883	945
483	886	945
484	890	945
485	893	944
486	895	943
487	897	941
488	898	938
489	899	935
490	900	933
491	901	930
492	903	929
493	905	927
494	906	924
495	907	922
496	908	919
497	909	916
498	910	914
499	911	911
500	912	908
501	913	906
502	914	903
503	915	900
504	917	899
505	919	897
506	920	895
507	922	893
508	923	890
509	924	888
510	928	888
511	930	886
512	933	886
513	935	884
514	937	882
515	938	880
516	939	877
517	940	875
518	942	873
519	944	871
520	945	869
521	950	870
522	951	868
523	953	865
524	955	864
525	956	861
526	957	859
527	959	857
528	960	855
529	963	854
530	964	852
531	966	850
532	967	847
533	968	845
534	969	842
535	970	840
536	971	837
537	972	835
538	973	832
539	974	830
540	975	827
541	978	826
542	979	824
543	981	822
544	982	819
545	983	817
546	984	814
547	984	812
548	985	809
549	986	807
550	987	804
551	988	802
552	989	799
553	990	797
554	992	795
555	993	793
556	995	791
557	996	789
558	997	787
559	999	785
560	1000	782
561	1002	781
562	1004	779
563	1005	777
564	1008	776
565	1010	774
566	1012	773
567	1013	770
568	1015	769
569	1017	767
570	1019	765
571	1021	764
572	1022	762
573	1024	760
574	1026	758
575	1028	756
576	1029	754
577	1032	753
578	1033	751
579	1042	755
580	1045	753
581	1046	751
582	1047	749
583	1048	747
584	1049	744
585	1050	742
586	1053	741
587	1055	739
588	1056	737
589	1057	734
590	1058	732
591	1059	730
592	1060	727
593	1061	725
594	1062	722
595	1062	720
596	1063	718
597	1064	715
598	1068	715
599	1069	713
600	1070	710
601	1072	708
602	1073	706
603	1074	704
604	1075	702
605	1076	699
606	1077	697
607	1078	695
608	1079	692
609	1080	690
610	1082	689
611	1084	687
612	1085	685
613	1086	683
614	1087	681
615	1088	678
616	1089	676
617	1090	674
618	1091	672
619	1093	670
620	1094	668
621	1096	666
622	1098	664
623	1099	662
624	1101	660
625	1102	658
626	1103	656
627	1104	654
628	1105	651
629	1106	649
630	1106	647
631	1108	645
632	1109	643
633	1112	642
634	1113	640
635	1114	638
636	1116	635
637	1116	633
638	1117	631
639	1118	629
640	1119	626
641	1120	624
642	1120	622
643	1121	620
644	1122	618
645	1123	615
646	1124	613
647	1126	611
648	1127	609
649	1128	607
650	1129	605
651	1130	603
652	1131	601
653	1132	599
654	1133	596
655	1133	594
656	1134	592
657	1135	590
658	1136	588
659	1137	585
660	1138	583
661	1139	581
662	1140	579
663	1141	577
664	1142	575
665	1144	573
666	1145	571
667	1146	569
668	1147	567
669	1148	565
670	1148	563
671	1149	561
672	1150	559
673	1151	557
674	1152	554
675	1153	552
676	1154	550
677	1155	548
678	1156	546
679	1157	544
680	1159	542
681	1160	541
682	1162	539
683	1163	537
684	1167	537
685	1173	537
686	1182	538
687	1183	536
688	1192	538
689	1193	536
690	1195	534
691	1196	532
692	1197	530
693	1199	529
694	1201	527
695	1202	525
696	1204	523
697	1206	522
698	1208	520
699	1209	518
700	1210	516
701	1211	514
702	1213	512
703	1214	510
704	1214	508
705	1215	506
706	1216	504
707	1217	502
708	1218	500
709	1219	497
710	1219	495
711	1227	496
712	1228	494
713	1230	492
714	1230	490
715	1231	488
716	1232	486
717	1233	484
718	1234	482
719	1235	480
720	1237	478
721	1238	476
722	1240	475
723	1242	473
724	1243	471
725	1244	469
726	1244	467
727	1245	465
728	1246	463
729	1247	461
730	1248	459
731	1248	457
732	1249	455
733	1250	453
734	1253	451
735	1255	450
736	1256	448
737	1257	446
738	1257	444
739	1258	442
740	1259	440
741	1260	438
742	1261	436
743	1262	434
744	1262	432
745	1263	430
746	1264	428
747	1265	426
748	1268	424
749	1270	423
750	1271	421
751	1272	419
752	1273	417
753	1274	415
754	1275	413
755	1276	411
756	1276	409
757	1277	407
758	1278	405
759	1279	404
760	1280	402
761	1281	400
762	1283	398
763	1284	396
764	1285	394
765	1286	393
766	1287	391
767	1288	389
768	1288	387
769	1289	385
770	1290	383
771	1291	381
772	1292	379
773	1293	377
774	1293	375
775	1294	373
776	1297	372
777	1299	370
778	1301	369
779	1301	367
780	1302	365
781	1303	363
782	1304	361
783	1305	359
784	1306	357
785	1307	356
786	1308	354
787	1310	352
788	1312	351
789	1314	349
790	1315	347
791	1317	345
792	1318	344
793	1319	342
794	1319	340
795	1320	338
796	1321	336
797	1322	334
798	1327	333
799	1330	332
800	1331	330
801	1332	329
802	1333	327
803	1334	325
804	1335	323
805	1336	321
806	1337	319
807	1338	318
808	1339	316
809	1344	315
810	1347	314
811	1348	312
812	1349	310
813	1350	308
814	1351	306
815	1351	304
816	1352	303
817	1353	301
818	1354	299
819	1356	297
820	1358	296
821	1360	294
822	1361	292
823	1362	290
824	1362	289
825	1363	287
826	1364	285
827	1365	283
828	1366	281
829	1368	280
830	1369	278
831	1372	277
832	1373	275
833	1374	273
834	1375	271
835	1376	270
836	1377	268
837	1378	266
838	1379	264
839	1380	262
840	1382	261
841	1383	259
842	1384	257
843	1386	256
844	1389	254
845	1391	253
846	1392	251
847	1393	249
848	1394	248
849	1395	246
850	1396	244
851	1397	242
852	1398	241
853	1399	239
854	1401	237
855	1403	236
856	1404	234
857	1405	232
858	1405	230
859	1406	228
860	1407	227
861	1408	225
862	1409	223
863	1410	221
864	1411	220
865	1411	218
866	1412	216
867	1413	214
868	1415	213
869	1417	211
870	1418	210
871	1419	208
872	1419	206
873	1420	204
874	1421	203
875	1422	201
876	1423	199
877	1424	197
878	1425	196
879	1425	194
880	1426	192
881	1427	190
882	1428	189
883	1429	187
884	1431	185
885	1432	184
886	1433	182
887	1434	180
888	1435	179
889	1436	177
890	1437	175
891	1438	174
892	1439	172
893	1440	170
894	1441	169
895	1442	167
896	1443	165
897	1445	164
898	1449	162
899	1452	161
900	1453	159
901	1453	157
902	1454	156
903	1455	154
904	1456	152
905	1457	151
906	1458	149
907	1459	147
908	1461	146
909	1462	144
910	1463	143
911	1465	141
912	1467	139
913	1469	138
914	1470	136
915	1471	134
916	1472	133
917	1472	131
918	1476	130
919	1477	128
920	1479	126
921	1480	125
922	1481	123
923	1481	121
924	1482	120
925	1483	118
926	1484	116
927	1485	115
928	1486	113
929	1486	111
930	1487	110
931	1488	108
932	1490	107
933	1491	105
934	1492	103
935	1493	102
936	1494	100
937	1495	98
938	1496	97
939	1496	95
940	1497	93
941	1498	92
942	1499	90
943	1500	88
944	1501	87
945	1501	85
946	1502	84
947	1503	82
948	1507	80
949	1507	79
950	1508	77
951	1509	76
952	1510	74
953	1511	72
954	1512	71
955	1512	69
956	1513	68
957	1514	66
