iter	Passed	Remaining
0	145	145538
1	147	73775
2	149	49723
3	155	38789
4	158	31452
5	159	26496
6	161	22950
7	163	20277
8	170	18734
9	171	16987
10	172	15544
11	174	14342
12	176	13366
13	177	12500
14	178	11737
15	182	11216
16	183	10624
17	184	10092
18	186	9629
19	188	9216
20	190	8893
21	192	8551
22	196	8326
23	197	8027
24	199	7765
25	202	7569
26	203	7349
27	205	7139
28	209	7001
29	211	6837
30	213	6658
31	214	6488
32	215	6322
33	216	6164
34	218	6014
35	219	5877
36	220	5748
37	226	5726
38	227	5606
39	233	5595
40	236	5523
41	241	5512
42	245	5455
43	246	5358
44	248	5264
45	249	5167
46	250	5081
47	257	5099
48	259	5035
49	260	4953
50	262	4875
51	263	4810
52	266	4764
53	268	4708
54	269	4637
55	271	4571
56	272	4515
57	274	4454
58	275	4396
59	277	4341
60	278	4285
61	280	4237
62	283	4212
63	285	4170
64	286	4118
65	287	4066
66	288	4016
67	289	3970
68	290	3923
69	291	3876
70	292	3830
71	295	3810
72	297	3774
73	298	3736
74	299	3696
75	300	3656
76	301	3616
77	302	3578
78	303	3541
79	304	3505
80	305	3469
81	306	3435
82	307	3394
83	308	3364
84	310	3345
85	311	3315
86	312	3284
87	313	3253
88	314	3223
89	315	3194
90	317	3166
91	318	3141
92	319	3114
93	320	3088
94	321	3063
95	322	3037
96	324	3023
97	326	3003
98	327	2978
99	328	2954
100	329	2931
101	330	2907
102	331	2885
103	335	2888
104	336	2871
105	338	2854
106	341	2850
107	343	2835
108	345	2820
109	346	2806
110	348	2790
111	349	2774
112	351	2758
113	352	2743
114	358	2755
115	359	2742
116	360	2723
117	362	2709
118	363	2694
119	366	2687
120	377	2744
121	381	2745
122	383	2731
123	384	2715
124	385	2699
125	388	2695
126	389	2677
127	390	2660
128	391	2643
129	392	2626
130	393	2610
131	394	2594
132	395	2578
133	396	2562
134	397	2547
135	398	2532
136	399	2517
137	401	2507
138	402	2496
139	404	2484
140	405	2469
141	405	2452
142	406	2438
143	407	2425
144	408	2411
145	409	2397
146	411	2384
147	412	2371
148	413	2359
149	414	2346
150	415	2333
151	417	2330
152	418	2318
153	419	2306
154	420	2293
155	421	2281
156	422	2269
157	423	2258
158	424	2246
159	425	2235
160	426	2221
161	427	2210
162	428	2199
163	429	2188
164	431	2185
165	433	2180
166	435	2170
167	436	2160
168	437	2150
169	438	2141
170	439	2132
171	440	2122
172	442	2113
173	443	2104
174	444	2094
175	447	2096
176	449	2088
177	450	2078
178	451	2069
179	452	2060
180	453	2050
181	454	2041
182	455	2032
183	456	2023
184	457	2014
185	458	2005
186	459	1997
187	460	1989
188	462	1985
189	463	1977
190	464	1968
191	465	1960
192	466	1952
193	467	1943
194	468	1935
195	469	1927
196	470	1919
197	471	1911
198	472	1903
199	474	1896
200	475	1888
201	477	1885
202	478	1878
203	479	1871
204	480	1863
205	481	1856
206	482	1848
207	483	1841
208	484	1834
209	485	1826
210	486	1819
211	487	1812
212	488	1806
213	489	1799
214	491	1794
215	493	1789
216	494	1782
217	494	1775
218	495	1768
219	496	1761
220	497	1755
221	498	1748
222	499	1742
223	500	1735
224	501	1728
225	503	1723
226	504	1717
227	505	1712
228	507	1710
229	509	1704
230	510	1698
231	511	1691
232	512	1685
233	513	1679
234	514	1673
235	515	1667
236	516	1661
237	517	1656
238	518	1650
239	519	1644
240	520	1638
241	522	1637
242	524	1632
243	525	1626
244	526	1621
245	527	1615
246	528	1609
247	528	1603
248	529	1598
249	530	1592
250	532	1587
251	533	1582
252	534	1577
253	535	1571
254	537	1568
255	538	1565
256	539	1559
257	540	1554
258	541	1549
259	542	1544
260	543	1538
261	544	1533
262	545	1528
263	546	1524
264	548	1521
265	549	1516
266	550	1512
267	552	1509
268	553	1504
269	554	1499
270	555	1495
271	556	1490
272	557	1485
273	558	1481
274	560	1476
275	561	1472
276	562	1467
277	563	1462
278	564	1458
279	567	1459
280	568	1455
281	570	1452
282	571	1448
283	573	1445
284	574	1440
285	575	1436
286	576	1432
287	577	1428
288	578	1423
289	579	1419
290	582	1418
291	583	1414
292	584	1410
293	585	1406
294	587	1403
295	588	1398
296	589	1394
297	590	1390
298	591	1386
299	592	1382
300	596	1386
301	599	1385
302	600	1382
303	604	1384
304	607	1384
305	612	1390
306	615	1388
307	618	1388
308	620	1386
309	621	1383
310	623	1381
311	627	1384
312	629	1381
313	631	1378
314	636	1383
315	638	1381
316	642	1383
317	643	1380
318	645	1378
319	647	1375
320	649	1373
321	650	1370
322	656	1375
323	658	1373
324	660	1371
325	661	1368
326	663	1364
327	664	1361
328	665	1357
329	669	1359
330	672	1358
331	674	1356
332	675	1352
333	676	1349
334	677	1345
335	679	1342
336	680	1338
337	681	1335
338	688	1342
339	692	1343
340	693	1340
341	695	1337
342	697	1335
343	706	1347
344	708	1345
345	710	1343
346	712	1341
347	717	1345
348	720	1344
349	723	1343
350	725	1341
351	727	1338
352	731	1340
353	734	1339
354	736	1338
355	738	1336
356	741	1335
357	747	1341
358	750	1339
359	752	1337
360	754	1335
361	755	1332
362	757	1328
363	759	1327
364	762	1327
365	764	1323
366	765	1320
367	766	1316
368	767	1313
369	769	1309
370	770	1306
371	771	1302
372	772	1298
373	776	1299
374	778	1296
375	779	1293
376	780	1289
377	781	1285
378	782	1282
379	783	1278
380	784	1274
381	785	1271
382	787	1267
383	788	1264
384	791	1264
385	793	1261
386	794	1258
387	795	1255
388	797	1252
389	799	1250
390	802	1249
391	805	1248
392	808	1248
393	809	1245
394	811	1243
395	814	1241
396	815	1239
397	817	1235
398	818	1232
399	822	1234
400	826	1233
401	828	1231
402	829	1228
403	830	1225
404	832	1222
405	833	1219
406	837	1219
407	839	1217
408	840	1214
409	841	1211
410	842	1207
411	844	1204
412	845	1201
413	846	1198
414	848	1195
415	855	1201
416	858	1199
417	860	1198
418	863	1197
419	868	1199
420	870	1196
421	871	1193
422	872	1190
423	874	1187
424	875	1184
425	876	1181
426	878	1178
427	887	1185
428	889	1184
429	891	1181
430	892	1178
431	893	1175
432	894	1171
433	898	1171
434	900	1169
435	902	1166
436	903	1163
437	904	1160
438	905	1157
439	906	1153
440	907	1150
441	909	1147
442	911	1145
443	913	1144
444	915	1141
445	916	1138
446	917	1135
447	919	1132
448	920	1129
449	921	1126
450	923	1124
451	928	1125
452	929	1122
453	930	1119
454	932	1116
455	933	1113
456	934	1109
457	935	1106
458	936	1103
459	937	1100
460	938	1097
461	939	1093
462	942	1092
463	943	1090
464	944	1087
465	946	1084
466	946	1080
467	947	1077
468	949	1074
469	950	1071
470	951	1068
471	952	1065
472	953	1062
473	954	1059
474	957	1058
475	959	1055
476	960	1052
477	961	1049
478	962	1046
479	963	1043
480	964	1040
481	965	1037
482	966	1034
483	967	1031
484	968	1028
485	969	1025
486	971	1023
487	973	1021
488	974	1018
489	975	1015
490	976	1012
491	977	1009
492	979	1006
493	980	1004
494	981	1001
495	982	998
496	983	995
497	986	994
498	988	992
499	989	989
500	990	986
501	991	983
502	992	980
503	993	977
504	994	975
505	995	972
506	996	969
507	997	966
508	998	963
509	1001	962
510	1003	960
511	1004	957
512	1005	954
513	1006	951
514	1008	949
515	1009	946
516	1010	943
517	1011	940
518	1012	938
519	1013	935
520	1014	932
521	1016	930
522	1017	928
523	1019	925
524	1020	922
525	1021	920
526	1022	917
527	1023	914
528	1024	912
529	1025	909
530	1026	906
531	1028	904
532	1031	903
533	1033	902
534	1035	899
535	1038	899
536	1039	896
537	1042	894
538	1043	892
539	1051	896
540	1054	894
541	1058	894
542	1059	892
543	1066	893
544	1068	891
545	1069	889
546	1070	886
547	1071	884
548	1073	881
549	1074	879
550	1075	876
551	1077	874
552	1084	876
553	1085	873
554	1086	871
555	1088	868
556	1089	866
557	1090	863
558	1091	861
559	1092	858
560	1096	857
561	1098	856
562	1099	853
563	1101	851
564	1102	848
565	1103	846
566	1105	844
567	1106	841
568	1109	840
569	1112	839
570	1114	837
571	1116	835
572	1118	833
573	1120	831
574	1121	828
575	1125	828
576	1127	826
577	1129	824
578	1130	821
579	1131	819
580	1132	816
581	1133	814
582	1134	811
583	1135	809
584	1137	807
585	1140	805
586	1142	803
587	1144	801
588	1145	799
589	1147	797
590	1148	794
591	1149	792
592	1151	790
593	1152	787
594	1156	787
595	1157	784
596	1159	782
597	1160	779
598	1161	777
599	1162	775
600	1163	772
601	1165	770
602	1167	768
603	1169	766
604	1170	764
605	1171	761
606	1173	759
607	1174	757
608	1175	754
609	1176	752
610	1178	750
611	1179	747
612	1180	745
613	1183	743
614	1185	742
615	1186	739
616	1187	737
617	1188	734
618	1190	732
619	1191	730
620	1192	727
621	1193	725
622	1194	723
623	1196	721
624	1198	719
625	1200	717
626	1201	714
627	1202	712
628	1203	710
629	1205	707
630	1206	705
631	1207	703
632	1208	700
633	1210	698
634	1212	696
635	1214	694
636	1215	692
637	1217	690
638	1218	688
639	1219	685
640	1220	683
641	1221	681
642	1222	678
643	1224	676
644	1225	674
645	1228	673
646	1230	671
647	1231	668
648	1232	666
649	1233	664
650	1235	662
651	1236	660
652	1237	657
653	1239	655
654	1240	653
655	1242	651
656	1245	650
657	1246	647
658	1247	645
659	1249	643
660	1250	641
661	1251	639
662	1253	636
663	1254	634
664	1255	632
665	1260	632
666	1262	630
667	1263	628
668	1265	625
669	1266	623
670	1267	621
671	1268	619
672	1269	616
673	1270	614
674	1274	613
675	1276	611
676	1277	609
677	1279	607
678	1280	605
679	1281	603
680	1282	600
681	1283	598
682	1284	596
683	1285	594
684	1288	592
685	1292	591
686	1293	589
687	1294	587
688	1296	585
689	1297	582
690	1298	580
691	1299	578
692	1300	576
693	1302	574
694	1305	573
695	1307	570
696	1308	568
697	1309	566
698	1310	564
699	1312	562
700	1313	560
701	1314	557
702	1315	555
703	1316	553
704	1319	552
705	1321	550
706	1322	547
707	1323	545
708	1324	543
709	1325	541
710	1326	539
711	1327	537
712	1328	534
713	1330	532
714	1331	530
715	1335	529
716	1336	527
717	1338	525
718	1339	523
719	1340	521
720	1341	519
721	1342	516
722	1343	514
723	1344	512
724	1346	510
725	1348	509
726	1350	507
727	1351	505
728	1353	502
729	1354	500
730	1355	498
731	1356	496
732	1357	494
733	1358	492
734	1359	490
735	1361	488
736	1362	486
737	1364	484
738	1366	482
739	1367	480
740	1368	478
741	1369	476
742	1370	474
743	1371	471
744	1372	469
745	1373	467
746	1375	465
747	1376	463
748	1380	462
749	1381	460
750	1383	458
751	1384	456
752	1385	454
753	1386	452
754	1388	450
755	1389	448
756	1391	446
757	1392	444
758	1395	443
759	1396	441
760	1398	439
761	1399	437
762	1400	434
763	1401	432
764	1402	430
765	1403	428
766	1405	426
767	1406	424
768	1407	422
769	1408	420
770	1410	418
771	1411	416
772	1413	414
773	1414	412
774	1415	410
775	1416	408
776	1417	406
777	1418	404
778	1419	402
779	1420	400
780	1421	398
781	1422	396
782	1424	394
783	1425	392
784	1427	390
785	1428	388
786	1429	386
787	1429	384
788	1430	382
789	1432	380
790	1433	378
791	1434	376
792	1435	374
793	1436	372
794	1437	370
795	1437	368
796	1440	366
797	1441	364
798	1442	362
799	1443	360
800	1444	358
801	1445	356
802	1446	354
803	1447	352
804	1448	350
805	1449	348
806	1450	346
807	1451	344
808	1452	342
809	1453	341
810	1456	339
811	1457	337
812	1458	335
813	1459	333
814	1460	331
815	1461	329
816	1462	327
817	1463	325
818	1464	323
819	1465	321
820	1466	319
821	1467	317
822	1468	315
823	1470	314
824	1471	312
825	1472	310
826	1473	308
827	1474	306
828	1476	304
829	1477	302
830	1479	300
831	1481	299
832	1482	297
833	1483	295
834	1486	293
835	1487	291
836	1488	289
837	1489	287
838	1490	286
839	1491	284
840	1492	282
841	1493	280
842	1494	278
843	1495	276
844	1496	274
845	1497	272
846	1498	270
847	1500	268
848	1506	267
849	1507	266
850	1509	264
851	1510	262
852	1511	260
853	1512	258
854	1521	258
855	1523	256
856	1525	254
857	1529	253
858	1533	251
859	1535	249
860	1536	248
861	1537	246
862	1538	244
863	1539	242
864	1541	240
865	1542	238
866	1543	236
867	1544	234
868	1545	232
869	1554	232
870	1556	230
871	1557	228
872	1558	226
873	1560	224
874	1561	223
875	1566	221
876	1568	219
877	1570	218
878	1571	216
879	1572	214
880	1573	212
881	1574	210
882	1576	208
883	1581	207
884	1584	205
885	1585	204
886	1587	202
887	1588	200
888	1589	198
889	1590	196
890	1595	195
891	1597	193
892	1598	191
893	1599	189
894	1600	187
895	1601	185
896	1602	184
897	1603	182
898	1604	180
899	1605	178
900	1607	176
901	1611	175
902	1612	173
903	1613	171
904	1614	169
905	1615	167
906	1616	165
907	1617	163
908	1618	162
909	1619	160
910	1620	158
911	1621	156
912	1622	154
913	1624	152
914	1626	151
915	1627	149
916	1628	147
917	1629	145
918	1630	143
919	1631	141
920	1632	140
921	1633	138
922	1634	136
923	1635	134
924	1636	132
925	1637	130
926	1638	129
927	1640	127
928	1641	125
929	1642	123
930	1643	121
931	1644	119
932	1645	118
933	1646	116
934	1647	114
935	1648	112
936	1649	110
937	1650	109
938	1651	107
939	1652	105
940	1655	103
941	1656	101
942	1657	100
943	1658	98
944	1659	96
945	1660	94
946	1661	92
947	1662	91
948	1663	89
949	1664	87
950	1666	85
951	1667	84
952	1668	82
953	1670	80
954	1671	78
955	1672	76
956	1673	75
957	1674	73
958	1675	71
959	1676	69
960	1677	68
961	1678	66
962	1679	64
963	1680	62
964	1681	61
965	1682	59
966	1683	57
967	1686	55
968	1687	53
969	1688	52
970	1689	50
971	1690	48
972	1691	46
973	1692	45
974	1693	43
975	1694	41
976	1695	39
977	1696	38
978	1697	36
979	1698	34
980	1701	32
981	1703	31
982	1705	29
983	1706	27
984	1710	26
985	1711	24
986	1712	22
987	1713	20
988	1715	19
989	1718	17
990	1719	15
991	1720	13
992	1721	12
993	1722	10
994	1723	8
995	1724	6
996	1725	5
997	1726	3
998	1727	1
999	1729	0
