iter	Passed	Remaining
0	1	179
1	3	160
2	4	150
3	5	140
4	6	131
5	8	129
6	9	127
7	11	129
8	13	133
9	14	131
10	15	129
11	17	125
12	18	122
13	19	120
14	20	118
15	22	115
16	23	113
17	24	111
18	25	108
19	27	108
20	28	107
21	29	105
22	31	104
23	32	103
24	34	102
25	35	101
26	36	99
27	37	97
28	38	95
29	39	93
30	41	91
31	42	89
32	43	87
33	44	85
34	45	83
35	46	82
36	47	80
37	48	78
38	49	76
39	50	75
40	51	73
41	51	71
42	52	69
43	53	68
44	54	67
45	55	65
46	56	64
47	57	62
48	58	61
49	59	59
50	60	58
51	61	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	104	4
96	105	3
97	106	2
98	107	1
99	107	0
